"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.888765600E-2,2.773879766E0,-1.393819213E0,1.071625614E1,1.115684932E1
2.139520800E-2,2.716451883E0,-1.379462242E0,1.079282665E1,1.121459469E1
2.390281200E-2,2.625524759E0,-1.307677627E0,1.088375378E1,1.127206713E1
2.641036500E-2,2.581855536E0,-1.283151150E0,1.095553875E1,1.132856055E1
2.891791700E-2,2.490928411E0,-1.220937729E0,1.094118118E1,1.128737609E1
3.142546900E-2,2.400001049E0,-1.220937729E0,1.098903847E1,1.131413542E1
3.393078100E-2,2.380858421E0,-1.197009563E0,1.089332485E1,1.121453722E1
3.643833300E-2,2.256431818E0,-1.173081279E0,1.083111191E1,1.112567254E1
3.895557300E-2,2.266003132E0,-1.106082320E0,1.069232845E1,1.098563043E1
4.146312500E-2,2.146361828E0,-1.077368379E0,1.055354404E1,1.082334900E1
4.400250000E-2,2.074577332E0,-1.019940615E0,1.043868923E1,1.069160338E1
4.653703100E-2,1.998006940E0,-9.577272534E-1,1.029033375E1,1.052616938E1
4.907161500E-2,1.931007862E0,-8.428717852E-1,1.017547798E1,1.039132217E1
5.160614600E-2,1.878365755E0,-7.232306600E-1,1.006959629E1,1.026879204E1
5.410880200E-2,1.868794441E0,-6.801598072E-1,9.969097137E0,1.016552545E1
5.661151000E-2,1.816152334E0,-5.748756528E-1,9.887741089E0,1.006957373E1
5.911416700E-2,1.811366796E0,-4.983053207E-1,9.777671814E0,9.956516658E0
6.166416700E-2,1.830509305E0,-4.313062727E-1,9.701101303E0,9.881708147E0
6.421416700E-2,1.868794441E0,-3.882354796E-1,9.557532310E0,9.746257914E0
6.667536500E-2,1.907079697E0,-3.403790295E-1,9.461818695E0,9.658096286E0
6.912281200E-2,1.940579176E0,-3.116651475E-1,9.394820213E0,9.598209705E0
7.157020800E-2,1.988435626E0,-2.781656384E-1,9.289535522E0,9.504037173E0
