"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.835380200E-2,1.992705464E-2,2.473592758E-5,-6.384563446E-2,6.688313060E-2
6.332427200E-2,8.935630322E-3,1.231530309E-2,-2.188968658E-2,2.665840502E-2
6.829640700E-2,2.049991488E-2,1.080295444E-2,1.855659485E-2,2.968665605E-2
7.327802100E-2,-1.155310869E-2,-3.186136484E-3,4.203319550E-2,4.370829795E-2
7.825203100E-2,6.860852242E-3,1.421466470E-3,2.921104431E-2,3.003959005E-2
8.322677100E-2,1.056350768E-2,5.623906851E-3,-3.003597260E-2,3.233226983E-2
8.820151100E-2,8.765757084E-4,-8.033797145E-3,-9.337425232E-2,9.372332302E-2
9.324302000E-2,9.721070528E-3,5.822345614E-3,-9.945106506E-2,1.000945216E-1
9.823062500E-2,4.012399167E-2,-3.508165479E-3,-4.788494110E-2,6.257163508E-2
1.032189580E-1,1.969175041E-2,1.021172106E-2,1.907348633E-6,2.218207125E-2
1.082072910E-1,5.065694451E-3,2.750791609E-2,4.491806030E-3,2.832883742E-2
1.131165100E-1,-4.224732518E-3,7.841691375E-3,-9.292602539E-3,1.287217738E-2
1.180878640E-1,9.546488523E-3,-1.658946276E-3,-4.043388367E-2,4.157867836E-2
1.230593220E-1,-1.366759837E-2,-1.963776350E-2,-8.820533752E-2,9.139270522E-2
1.280307810E-1,5.183875561E-3,-4.319697618E-4,-1.019906998E-1,1.021232687E-1
1.330233330E-1,-2.250485122E-2,4.228383303E-3,-1.199350357E-1,1.221014346E-1
1.379991660E-1,-7.750079036E-3,1.320774853E-2,-3.220939636E-2,3.566445794E-2
1.429750520E-1,-3.940337896E-2,1.719258726E-2,-7.906913757E-3,4.371190473E-2
1.479509370E-1,-2.856217325E-2,2.109397948E-2,2.454566956E-2,4.316530557E-2
1.529447390E-1,-5.497813225E-2,-2.807676792E-3,-4.998683929E-2,7.435833630E-2
1.579243750E-1,-4.368330538E-2,-2.671390772E-3,-1.079196930E-1,1.164561189E-1
1.629040100E-1,-1.893745363E-2,6.627723575E-3,-1.315879822E-1,1.331087936E-1
1.678836450E-1,4.849553108E-3,-1.666827500E-2,-6.224441528E-2,6.461978637E-2
1.728527600E-1,-2.755902708E-2,-1.143980026E-2,-6.471920013E-2,7.126670941E-2
1.778301560E-1,-3.527730703E-3,-1.102794707E-2,-1.627445221E-2,1.997293907E-2
1.828075520E-1,-1.724280417E-2,-1.477465034E-3,2.786636353E-3,1.752890586E-2
1.877850000E-1,-3.987692297E-2,-2.005884051E-2,-4.832744598E-2,6.578805441E-2
1.927680720E-1,-1.548245549E-2,3.846704960E-3,-8.865165710E-2,9.007563419E-2
1.977466660E-1,-5.761355162E-3,-5.583629012E-3,-1.092834473E-1,1.095775614E-1
2.027252600E-1,-1.953062415E-2,1.786379516E-2,-1.201152802E-1,1.229969145E-1
2.077038540E-1,-1.425749063E-2,-1.519235969E-2,-4.229068756E-2,4.714431128E-2
2.126810410E-1,-1.390258968E-2,-7.748305798E-4,1.941871643E-2,2.389495574E-2
2.176592700E-1,9.745761752E-3,-1.476371288E-2,2.823162079E-2,3.331623482E-2
2.226375520E-1,1.341104507E-4,-1.435512304E-2,-9.817123413E-3,1.739147651E-2
2.276158850E-1,-9.184673429E-3,-9.349718690E-3,-7.493305206E-2,7.607061034E-2
2.326520830E-1,-2.295428514E-2,-4.419639707E-3,-1.058053970E-1,1.083568847E-1
2.376882810E-1,1.038731635E-2,-8.854910731E-3,-7.523632050E-2,7.646443426E-2
2.427244790E-1,1.494823396E-2,1.481878757E-2,-4.074382782E-2,4.585963006E-2
2.477028120E-1,-8.715823293E-3,-1.824565232E-2,5.845546722E-2,6.185394937E-2
2.526028120E-1,-1.313069463E-2,1.496192813E-2,6.184005737E-2,6.496512242E-2
2.575028120E-1,1.059594750E-2,6.141662598E-4,3.707504272E-2,3.856436304E-2
2.624028120E-1,-3.768026829E-3,5.315840244E-3,-2.463912964E-2,2.548613139E-2
2.673467700E-1,1.972427964E-2,-1.352024078E-2,-8.507823944E-2,8.837505839E-2
2.723900520E-1,1.934511960E-2,-8.419871330E-3,-5.519485474E-2,5.908976117E-2
2.774333330E-1,3.780241311E-2,1.164361835E-3,-1.185512543E-2,3.963486059E-2
2.824766140E-1,2.305240929E-2,5.761131644E-3,7.757282257E-2,8.113043211E-2
2.874208330E-1,2.268444002E-2,-2.249972522E-2,9.486770630E-2,1.001034622E-1
2.923426040E-1,-1.161843538E-3,1.444935799E-3,6.958961487E-2,6.961431044E-2
2.972822390E-1,-1.532034576E-2,1.544384658E-2,2.501487732E-3,2.189709644E-2
3.022218750E-1,1.783913374E-2,1.036182046E-3,-2.105140686E-2,2.761286107E-2
3.071615620E-1,1.754353940E-2,2.921219170E-2,7.541656494E-3,3.489992122E-2
3.122482810E-1,3.198146820E-3,5.207911134E-3,5.915927887E-2,5.947411839E-2
3.172188540E-1,3.269687295E-3,9.904503822E-3,8.637809753E-2,8.700555031E-2
3.221895310E-1,3.287166357E-3,4.042088985E-4,1.178674698E-1,1.179139910E-1
3.271602080E-1,-1.092313230E-2,-9.042009711E-3,8.765029907E-2,8.878990757E-2
3.321436970E-1,-1.543280482E-2,-1.833520830E-2,3.440475464E-2,4.192896934E-2
3.371170310E-1,-6.232531369E-2,1.025708020E-2,-3.839492798E-3,6.328028228E-2
3.420903640E-1,-9.478569031E-3,6.998032331E-4,-5.090141296E-2,5.178114364E-2
3.470637500E-1,-1.878738403E-2,5.535855889E-3,1.588630676E-2,2.521876765E-2
3.520721350E-1,-8.993223310E-3,3.382043540E-2,2.978897095E-2,4.595740100E-2
3.570528120E-1,-8.729681373E-3,-4.389896989E-3,9.064674377E-2,9.117187444E-2
3.620335410E-1,-2.744489908E-2,-1.844550669E-2,9.872817993E-2,1.041187433E-1
3.670142700E-1,-1.291823387E-2,6.760358810E-4,-1.802444458E-3,1.306088040E-2
3.719872390E-1,-1.276184618E-2,-1.346038282E-2,-6.784248352E-2,7.033241922E-2
3.769662500E-1,-3.119394183E-3,1.513509452E-2,-4.799175262E-2,5.041835009E-2
3.819453640E-1,-3.105312586E-3,7.887333632E-4,-3.315258026E-2,3.330703596E-2
3.869244270E-1,-3.092035651E-3,1.019917428E-2,9.803771973E-3,1.448094560E-2
3.918983850E-1,-2.653741837E-2,-8.802101016E-3,2.856349945E-2,3.996980181E-2
3.968763540E-1,-7.312864065E-3,-4.182426631E-2,3.762340546E-2,5.672977941E-2
4.018543220E-1,-3.081589937E-2,-4.134112597E-2,-1.957416534E-2,5.515302620E-2
4.068323430E-1,-6.813347340E-3,-2.191798389E-2,-1.091003418E-1,1.114885837E-1
4.118144790E-1,-1.620614529E-2,-2.633059025E-2,-1.360406876E-1,1.395098842E-1
